2023-01-21 11:47:35.7142|13|WARN|Microsoft.AspNetCore.Identity.UserManager|User validation failed: DuplicateUserName;DuplicateEmail. |url: |action: 

2023-01-21 11:47:35.7581|13|WARN|Microsoft.AspNetCore.Identity.UserManager|User validation failed: DuplicateUserName;DuplicateEmail. |url: |action: 

2023-01-21 11:47:35.7717|13|WARN|Microsoft.AspNetCore.Identity.UserManager|User validation failed: DuplicateUserName;DuplicateEmail. |url: |action: 

2023-01-21 11:47:36.9088||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2023-01-21 11:47:36.9088||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2023-01-21 11:47:36.9088||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\PROJECT\Azmoon\Azmoon-14000231-PM\Azmoon\EndPoint.Site |url: |action: 

2023-01-21 11:47:37.4598||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper SettingsJson: default - default |url: https://localhost/Admin/Quiz/Details/1|action: Details

2023-01-21 11:47:37.4598||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper - PageNo: 1, PageSize: 10, TotalRecords: 1, TotalPages: 1, QueryStringKeyPageNo: PageNo, QueryStringKeyPageSize: PageSize,  |url: https://localhost/Admin/Quiz/Details/1|action: Details

2023-01-21 13:32:27.8716|13|WARN|Microsoft.AspNetCore.Identity.UserManager|User validation failed: DuplicateUserName;DuplicateEmail. |url: |action: 

2023-01-21 13:32:27.9781|13|WARN|Microsoft.AspNetCore.Identity.UserManager|User validation failed: DuplicateUserName;DuplicateEmail. |url: |action: 

2023-01-21 13:32:28.0321|13|WARN|Microsoft.AspNetCore.Identity.UserManager|User validation failed: DuplicateUserName;DuplicateEmail. |url: |action: 

2023-01-21 13:32:28.9104||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2023-01-21 13:32:28.9104||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2023-01-21 13:32:28.9104||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\PROJECT\Azmoon\Azmoon-14000231-PM\Azmoon\EndPoint.Site |url: |action: 

2023-01-21 13:32:30.7178||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper SettingsJson: default - default |url: https://localhost/Admin/Quiz/Details/1|action: Details

2023-01-21 13:32:30.7214||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper - PageNo: 1, PageSize: 10, TotalRecords: 5, TotalPages: 1, QueryStringKeyPageNo: PageNo, QueryStringKeyPageSize: PageSize,  |url: https://localhost/Admin/Quiz/Details/1|action: Details

2023-01-21 13:32:48.4212||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper SettingsJson: default - default |url: https://localhost/Admin/Quiz/Details/1|action: Details

2023-01-21 13:32:48.4212||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper - PageNo: 1, PageSize: 10, TotalRecords: 5, TotalPages: 1, QueryStringKeyPageNo: PageNo, QueryStringKeyPageSize: PageSize,  |url: https://localhost/Admin/Quiz/Details/1|action: Details

2023-01-21 13:32:52.3275||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper SettingsJson: default - default |url: https://localhost/Admin/Quiz/Details/1|action: Details

2023-01-21 13:32:52.3275||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper - PageNo: 1, PageSize: 10, TotalRecords: 5, TotalPages: 1, QueryStringKeyPageNo: PageNo, QueryStringKeyPageSize: PageSize,  |url: https://localhost/Admin/Quiz/Details/1|action: Details

