2025-07-26 07:37:13.9864 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 07:37:14.0198 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 07:37:14.0430 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 07:37:14.8398 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-26 07:37:22.8109 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/Login|action: Login

2025-07-26 07:37:25.9045 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/Login|action: Login

2025-07-26 07:37:35.0357 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-26 07:37:45.2206 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 07:37:45.2322 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 07:43:52.8179 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 07:43:52.8323 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 07:43:52.8358 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 07:43:53.1134 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-26 07:43:57.9351 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/Login|action: Login

2025-07-26 07:44:00.5208 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/Login|action: Login

2025-07-26 07:44:05.3421 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-26 07:44:08.4838 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 07:44:08.4917 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 07:45:06.4307 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 07:45:06.4502 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 07:45:06.4502 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 07:48:23.6808 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 07:48:23.6984 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 07:48:23.6984 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 07:48:24.1528 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-26 07:48:29.7768 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 07:48:29.7768 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 08:20:37.9171 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 08:20:37.9308 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 08:20:37.9308 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 08:20:40.6901 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 08:20:40.6997 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 08:21:33.7887 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 08:21:33.8035 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 08:21:33.8035 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 08:21:36.1925 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 08:21:36.2026 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 08:31:10.6321 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 08:31:10.6458 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 08:31:10.6458 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:27:59.5521 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:27:59.5687 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:27:59.5687 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:34:52.9433 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:34:52.9570 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:34:52.9570 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:34:53.4393 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-26 09:38:18.6383 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 09:38:18.6383 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 09:43:45.3192 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:43:45.3374 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:43:45.3374 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:43:47.6457 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 09:43:47.6555 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 09:51:12.5533 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:51:12.5703 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:51:12.5703 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:51:14.9213 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 09:51:14.9316 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 09:54:54.0734 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:54:54.0886 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:54:54.0886 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:55:31.4910 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:55:31.5057 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:55:31.5057 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:56:54.3313 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:56:54.3457 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 09:56:54.3457 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:00:00.2922 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:00:00.2922 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:00:00.3090 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:01:38.4383 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:01:38.4562 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:01:38.4602 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:03:17.6529 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:03:17.6691 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:03:17.6691 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:03:45.7217 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:03:45.7395 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:03:45.7395 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:05:48.1489 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:05:48.1659 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:05:48.1659 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:07:45.3257 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:07:45.3479 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:07:45.3479 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:08:28.0623 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:08:28.0800 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:08:28.0800 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:11:04.6793 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:11:04.6945 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:11:04.6945 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:11:45.3782 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:11:45.3933 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:11:45.3967 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:14:29.2938 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:14:29.3162 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:14:29.3162 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:17:01.4292 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:17:01.4428 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:17:01.4428 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:17:25.1292 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 10:17:25.1392 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 10:28:44.0616 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:28:44.0828 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:28:44.0828 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:31:23.2667 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:31:23.2829 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:31:23.2829 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:38:48.7302 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:38:48.7493 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:38:48.7493 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:42:09.6982 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:42:09.7144 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:42:09.7144 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:47:46.6628 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:47:46.6765 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:47:46.6765 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:47:49.3971 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 10:47:49.4066 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-26 10:48:05.0109 -ERROR|Microsoft.AspNetCore.Diagnostics.DeveloperExceptionPageMiddleware| url: https://localhost/Person/HourlyLeave/GrantAccess|action: GrantAccess

2025-07-26 10:48:54.2302 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:48:54.2544 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:48:54.2579 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-26 10:48:55.0866 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

