2025-07-29 08:29:18.6938||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-29 08:29:18.7231||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-29 08:29:18.7231||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-29 08:29:43.4758||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper SettingsJson: default - default |url: https://localhost/Admin/User|action: Index

2025-07-29 08:29:43.4758||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper - PageNo: 1, PageSize: 10, TotalRecords: 36065, TotalPages: 3607, QueryStringKeyPageNo: PageIndex, QueryStringKeyPageSize: PageSize,  |url: https://localhost/Admin/User|action: Index

2025-07-29 08:48:59.4426||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-29 08:48:59.4693||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-29 08:48:59.4693||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-29 08:49:18.3024||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper SettingsJson: default - default |url: https://localhost/Admin/User|action: Index

2025-07-29 08:49:18.3054||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper - PageNo: 1, PageSize: 10, TotalRecords: 36065, TotalPages: 3607, QueryStringKeyPageNo: PageIndex, QueryStringKeyPageSize: PageSize,  |url: https://localhost/Admin/User|action: Index

2025-07-29 09:35:40.8742||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-29 09:35:40.9114||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-29 09:35:40.9114||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-29 09:35:56.9046||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper SettingsJson: default - default |url: https://localhost/Admin/User|action: Index

2025-07-29 09:35:56.9046||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper - PageNo: 1, PageSize: 10, TotalRecords: 36065, TotalPages: 3607, QueryStringKeyPageNo: PageIndex, QueryStringKeyPageSize: PageSize,  |url: https://localhost/Admin/User|action: Index

2025-07-29 09:37:51.5144||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-29 09:37:51.5445||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-29 09:37:51.5445||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

