2025-10-26 07:14:48.8629||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-10-26 07:14:48.9012||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-10-26 07:14:48.9012||INFO|Microsoft.Hosting.Lifetime|Content root path: E:\Code\Asp.net\Meshkat\Azmoon\EndPoint.Site |url: |action: 

2025-10-26 07:16:46.3394|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/PublicRelations/Dashboard/index|action: Index

2025-10-26 07:19:25.5175||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-10-26 07:19:25.5417||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-10-26 07:19:25.5417||INFO|Microsoft.Hosting.Lifetime|Content root path: E:\Code\Asp.net\Meshkat\Azmoon\EndPoint.Site |url: |action: 

2025-10-26 07:38:09.0956||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-10-26 07:38:09.1244||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-10-26 07:38:09.1300||INFO|Microsoft.Hosting.Lifetime|Content root path: E:\Code\Asp.net\Meshkat\Azmoon\EndPoint.Site |url: |action: 

2025-10-26 07:39:36.1799||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-10-26 07:39:36.2077||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-10-26 07:39:36.2077||INFO|Microsoft.Hosting.Lifetime|Content root path: E:\Code\Asp.net\Meshkat\Azmoon\EndPoint.Site |url: |action: 

2025-10-26 07:39:56.8062|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/PublicRelations/Dashboard/index|action: Index

2025-10-26 07:42:01.5695||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-10-26 07:42:01.6095||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-10-26 07:42:01.6123||INFO|Microsoft.Hosting.Lifetime|Content root path: E:\Code\Asp.net\Meshkat\Azmoon\EndPoint.Site |url: |action: 

2025-10-26 07:42:24.3065|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/PublicRelations/Dashboard/index|action: Index

2025-10-26 07:52:26.4735||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-10-26 07:52:26.5122||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

