2025-07-28 08:37:52.9325||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-28 08:37:52.9325||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-28 08:37:52.9486||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-28 08:38:15.1583|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 08:38:15.1727|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 08:41:04.9442||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-28 08:41:04.9580||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-28 08:41:04.9580||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-28 08:41:08.8519|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 08:41:08.8519|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 08:41:47.2059||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-28 08:41:47.2197||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-28 08:41:47.2197||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-28 08:41:51.1325|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 08:41:51.1416|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 08:44:47.1731||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-28 08:44:47.1869||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-28 08:44:47.1869||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-28 08:44:51.1659|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 08:44:51.1753|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 08:46:12.8165||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-28 08:46:12.8302||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-28 08:46:12.8302||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-28 08:46:16.6719|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 08:46:16.6719|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 08:48:06.7153||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-28 08:48:06.7301||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-28 08:48:06.7301||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-28 08:48:10.7825|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 08:48:10.7922|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 08:50:01.2653||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-28 08:50:01.2843||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-28 08:50:01.2843||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-28 08:50:05.2336|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 08:50:05.2336|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-28 09:10:12.6997||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

