2025-07-30 11:19:07.8426 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:19:07.8565 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:19:07.8565 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:19:08.3129 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-30 11:29:08.2565 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/Login|action: Login

2025-07-30 11:29:09.8137 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:30:48.8433 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:30:48.8791 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:30:48.8791 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:30:49.5130 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-30 11:31:00.7406 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/Login|action: Login

2025-07-30 11:31:03.2972 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:31:51.1797 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:33:22.0329 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:34:01.1117 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:35:45.9073 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:35:45.9430 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:35:45.9465 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:35:46.4628 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-30 11:36:21.2884 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:36:27.8216 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:37:01.7579 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:49:22.5372 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:49:22.5546 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:49:22.5546 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:49:22.9027 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-30 11:50:24.6764 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:50:24.7197 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:50:24.7197 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:50:25.2712 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-30 11:50:25.6318 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:51:10.7665 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:52:20.6112 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:53:16.7444 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:53:16.7847 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:53:16.7847 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:53:17.3315 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-30 11:53:19.9040 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/Login|action: Login

2025-07-30 11:53:21.4439 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:53:58.2850 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:58:29.7463 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:58:29.7800 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:58:29.7800 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 11:58:30.3129 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-30 11:58:44.0148 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/Login|action: Login

2025-07-30 11:58:45.7215 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 11:59:22.9500 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 12:05:56.8928 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 12:05:56.9133 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 12:05:56.9167 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 12:05:57.1818 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-30 12:07:04.3472 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 12:07:04.3618 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 12:07:04.3618 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-07-30 12:07:04.6291 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-07-30 12:07:06.5837 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/Login|action: Login

2025-07-30 12:07:08.3355 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 12:07:44.9029 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 12:07:48.0545 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

2025-07-30 12:08:16.4608 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/ForgotPassword|action: ForgotPassword

