2025-10-29 06:57:49.7606 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-10-29 06:57:49.7896 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-10-29 06:57:49.7896 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-10-29 06:57:53.6725 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-10-29 06:58:40.9619 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/PublicRelations/Dashboard/index|action: Index

2025-10-29 06:59:17.2474 -INFO|LazZiya.TagHelpers.PagingTagHelper| url: https://localhost/PublicRelations/MediaPerformances/Index|action: Index

2025-10-29 06:59:17.2474 -INFO|LazZiya.TagHelpers.PagingTagHelper| url: https://localhost/PublicRelations/MediaPerformances/Index|action: Index

2025-10-29 07:00:29.4119 -INFO|LazZiya.TagHelpers.PagingTagHelper| url: https://localhost/PublicRelations/MediaPerformances/Index|action: Index

2025-10-29 07:00:29.4119 -INFO|LazZiya.TagHelpers.PagingTagHelper| url: https://localhost/PublicRelations/MediaPerformances/Index|action: Index

2025-10-29 07:00:49.3431 -INFO|LazZiya.TagHelpers.PagingTagHelper| url: https://localhost/PublicRelations/MediaPerformances/Index|action: Index

2025-10-29 07:00:49.3431 -INFO|LazZiya.TagHelpers.PagingTagHelper| url: https://localhost/PublicRelations/MediaPerformances/Index|action: Index

2025-10-29 07:05:06.5868 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-10-29 07:05:06.6128 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-10-29 07:05:06.6128 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-10-29 07:05:07.0221 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-10-29 07:05:31.2327 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/PublicRelations/Dashboard/index|action: Index

2025-10-29 07:05:34.7226 -INFO|LazZiya.TagHelpers.PagingTagHelper| url: https://localhost/PublicRelations/Operator|action: Index

2025-10-29 07:05:34.7226 -INFO|LazZiya.TagHelpers.PagingTagHelper| url: https://localhost/PublicRelations/Operator|action: Index

2025-10-29 07:08:04.3636 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

