2025-08-04 11:01:12.9803 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-08-04 11:01:12.9940 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-08-04 11:01:12.9940 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-08-04 11:01:13.4819 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-08-04 11:01:16.4016 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/Login|action: Login

2025-08-04 11:01:19.4178 -TRACE|EndPoint.Site.Controllers.AccountController| url: https://localhost/Account/Login|action: Login

2025-08-04 11:01:25.2594 -TRACE|EndPoint.Site.Controllers.HomeController| url: https://localhost/|action: Index

2025-08-04 11:01:32.8897 -ERROR|Microsoft.AspNetCore.Diagnostics.DeveloperExceptionPageMiddleware| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-08-04 11:02:12.1642 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-08-04 11:02:12.1780 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-08-04 11:02:12.1780 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-08-04 11:02:17.7852 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-08-04 11:02:17.7946 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-08-04 11:05:07.3153 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-08-04 11:05:07.3358 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-08-04 11:05:07.3391 -INFO|Microsoft.Hosting.Lifetime| url: |action: 

2025-08-04 11:05:11.6854 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-08-04 11:05:11.6946 -WARN|Microsoft.EntityFrameworkCore.Query| url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

